date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month
2016-01-15,Shinyanga,Kahama,Shinyanga Region,-3.75434089,32.9368229,cereals and tubers,Rice,KG,actual,Retail,TZS,1766.7,0.8293,2016,1
2016-01-15,Shinyanga,Kahama,Shinyanga Region,-3.75434089,32.9368229,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,1800.0,0.8449,2016,1
2016-01-15,Shinyanga,Kahama,Shinyanga Region,-3.75434089,32.9368229,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,1625.0,0.7628,2016,1
2016-01-15,Shinyanga,Kahama,Shinyanga Region,-3.75434089,32.9368229,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Simiyu,Meatu,Simiyu Region,-3.02799589,34.27698363,cereals and tubers,Maize (white),KG,actual,Retail,TZS,911.5,0.4279,2016,1
2016-01-15,Simiyu,Meatu,Simiyu Region,-3.02799589,34.27698363,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1200.0,0.5633,2016,1
2016-01-15,Simiyu,Meatu,Simiyu Region,-3.02799589,34.27698363,cereals and tubers,Rice,KG,actual,Retail,TZS,1800.0,0.8449,2016,1
2016-01-15,Simiyu,Meatu,Simiyu Region,-3.02799589,34.27698363,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Simiyu,Meatu,Simiyu Region,-3.02799589,34.27698363,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Simiyu,Meatu,Simiyu Region,-3.02799589,34.27698363,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2500.0,1.1735,2016,1
2016-01-15,Singida,Manyoni,Singida Region,-5.747654726,34.49615906,cereals and tubers,Maize (white),KG,actual,Retail,TZS,845.2,0.3967,2016,1
2016-01-15,Singida,Manyoni,Singida Region,-5.747654726,34.49615906,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,2400.0,1.1265,2016,1
2016-01-15,Singida,Manyoni,Singida Region,-5.747654726,34.49615906,cereals and tubers,Rice,KG,actual,Retail,TZS,3866.7,1.815,2016,1
2016-01-15,Singida,Manyoni,Singida Region,-5.747654726,34.49615906,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,1400.0,0.6572,2016,1
2016-01-15,Singida,Manyoni,Singida Region,-5.747654726,34.49615906,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,1800.0,0.8449,2016,1
2016-01-15,Singida,Manyoni,Singida Region,-5.747654726,34.49615906,pulses and nuts,Soybeans,KG,actual,Retail,TZS,1337.5,0.6278,2016,1
2016-01-15,Tabora,Sikonge,Tabora Region,-5.266038402,32.82018705,cereals and tubers,Maize (white),KG,actual,Retail,TZS,916.7,0.4303,2016,1
2016-01-15,Tabora,Sikonge,Tabora Region,-5.266038402,32.82018705,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,2400.0,1.1265,2016,1
2016-01-15,Tabora,Sikonge,Tabora Region,-5.266038402,32.82018705,cereals and tubers,Rice,KG,actual,Retail,TZS,3533.3,1.6585,2016,1
2016-01-15,Tabora,Sikonge,Tabora Region,-5.266038402,32.82018705,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2300.0,1.0796,2016,1
2016-01-15,Tabora,Sikonge,Tabora Region,-5.266038402,32.82018705,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,1650.0,0.7745,2016,1
2016-01-15,Tabora,Sikonge,Tabora Region,-5.266038402,32.82018705,pulses and nuts,Soybeans,KG,actual,Retail,TZS,3000.0,1.4082,2016,1
2016-01-15,Tanga,Handeni,Tanga Region,-5.217995986,38.28187812,cereals and tubers,Maize (white),KG,actual,Retail,TZS,700.0,0.3286,2016,1
2016-01-15,Tanga,Handeni,Tanga Region,-5.217995986,38.28187812,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1300.0,0.6102,2016,1
2016-01-15,Tanga,Handeni,Tanga Region,-5.217995986,38.28187812,cereals and tubers,Rice,KG,actual,Retail,TZS,2211.1,1.0379,2016,1
2016-01-15,Tanga,Handeni,Tanga Region,-5.217995986,38.28187812,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Tanga,Handeni,Tanga Region,-5.217995986,38.28187812,pulses and nuts,Beans (green),KG,actual,Retail,TZS,2166.7,1.017,2016,1
